56.4,42.2752,-71.79462,1299.8
56.6,42.2752,-71.79461,1299
56.8,42.2752,-71.79461,1298.3
57,42.27521,-71.79461,1297.5
57.2,42.27521,-71.7946,1296.6
57.4,42.27521,-71.7946,1296
57.6,42.27522,-71.79459,1295.2
57.8,42.27522,-71.79459,1294.3
58,42.27522,-71.79458,1293.5
58.2,42.27523,-71.79458,1292.6
58.4,42.27523,-71.79457,1291.8
58.6,42.27524,-71.79457,1291
58.8,42.27524,-71.79456,1290.2
59,42.27524,-71.79455,1289.5
59.2,42.27525,-71.79455,1288.6
59.4,42.27525,-71.79454,1287.8
59.6,42.27526,-71.79453,1287
59.8,42.27526,-71.79452,1286.2
60,42.27527,-71.79452,1285.4
60.2,42.27527,-71.79451,1284.6
60.4,42.27528,-71.7945,1283.7
60.6,42.27528,-71.7945,1283.1
60.8,42.27529,-71.79449,1282.2
61,42.27529,-71.79448,1281.4
61.2,42.2753,-71.79447,1280.6
61.4,42.2753,-71.79447,1279.8
61.6,42.27531,-71.79446,1279
61.8,42.27532,-71.79446,1278.2
62,42.27532,-71.79445,1277.3
62.2,42.27533,-71.79445,1276.6
62.4,42.27533,-71.79444,1275.8
62.6,42.27534,-71.79444,1274.9
62.8,42.27535,-71.79443,1274.1
63,42.27535,-71.79443,1273.3
63.2,42.27536,-71.79442,1272.5
63.4,42.27537,-71.79442,1271.7
63.6,42.27537,-71.79442,1270.9
63.8,42.27538,-71.79441,1270.3
64,42.27538,-71.79441,1269.5
64.2,42.27539,-71.79441,1268.6
64.4,42.27539,-71.7944,1267.8
64.6,42.2754,-71.7944,1267
64.8,42.2754,-71.79439,1266.2
65,42.27541,-71.79439,1265.4
65.2,42.27542,-71.79439,1264.6
65.4,42.27542,-71.79438,1264
65.6,42.27542,-71.79438,1263.1
65.8,42.27543,-71.79437,1262.3
66,42.27543,-71.79437,1261.5
66.2,42.27543,-71.79437,1260.7
66.4,42.27544,-71.79436,1259.9
66.6,42.27544,-71.79436,1259.1
66.8,42.27544,-71.79435,1258.3
67,42.27545,-71.79435,1257.6
67.2,42.27545,-71.79434,1256.8
67.4,42.27546,-71.79434,1256
67.6,42.27546,-71.79433,1255.2
67.8,42.27546,-71.79433,1254.3
68,42.27547,-71.79432,1253.6
68.2,42.27547,-71.79431,1252.8
68.4,42.27548,-71.79431,1251.9
68.6,42.27548,-71.7943,1251.2
68.8,42.27548,-71.79429,1250.4
69,42.27548,-71.79429,1249.6
69.2,42.27549,-71.79428,1248.7
69.4,42.27549,-71.79427,1247.9
69.6,42.27549,-71.79426,1247.2
69.8,42.2755,-71.79425,1246.3
70,42.2755,-71.79425,1245.5
70.2,42.2755,-71.79424,1244.9
70.4,42.27551,-71.79423,1244.1
70.6,42.27551,-71.79422,1243.2
